"unit_id","lab","identifier","framework_version","framework_year","section_heading","locator","unit_type","context_stem","excerpt","paraphrase","modal_register","stated_bar","duplicate_of","removal_candidate","transition_id","prior_unit_id","prior_stated_bar","prior_counterpart_excerpt","prior_modal_register","cosmetic_split"
"ANT-RSP-v1-0-0001","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Anthropic's Responsible Scaling Policy","Preamble / para 1","paragraph","NONE","As AI models become more capable, Anthropic believes that they will create major economic and social value, but will also present increasingly severe risks.","Anthropic believes more capable AI models will bring major benefits but also increasingly severe risks.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0002","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Anthropic's Responsible Scaling Policy","Preamble / para 1","paragraph","NONE","With this document we are making a public commitment to a concrete framework for managing these risks—one that will evolve over time, but that seeks to establish clear expectations and accountability in its initial form.","Anthropic is publicly committing to an evolving framework meant to establish clear initial expectations and accountability.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0003","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Anthropic's Responsible Scaling Policy","Preamble / para 2","paragraph","NONE","We focus these commitments specifically on catastrophic risks1, defined as large-scale devastation (for example, thousands of deaths or hundreds of billions of dollars in damage) that is directly caused by an AI model and wouldn’t have occurred without it.","The commitments are focused specifically on catastrophic risks, defined as large-scale devastation directly and necessarily caused by an AI model.","none","thousands of deaths or hundreds of billions of dollars in damage","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0004","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Anthropic's Responsible Scaling Policy","Preamble / para 2","paragraph","NONE","AI represents a spectrum of risks and these commitments are designed to deal with the more extreme end of this spectrum.","The document addresses the most extreme portion of the AI risk spectrum.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0005","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Anthropic's Responsible Scaling Policy","Preamble / para 2","paragraph","NONE","This work is complementary to our work on other areas of AI safety, including mitigating harms like misinformation, bias, and toxicity, studying societal impacts, protecting customer privacy, building robust and reliable systems, and developing techniques like Constitutional AI for alignment with human values.","This document complements other Anthropic safety work such as bias mitigation, privacy protection, robustness, and Constitutional AI alignment work.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0006","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Anthropic's Responsible Scaling Policy","Preamble / para 3","paragraph","NONE","Note that these commitments primarily relate to internal testing and development practices for future more powerful versions of Claude.","The commitments mainly govern internal testing and development of future, more capable Claude versions.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0007","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Anthropic's Responsible Scaling Policy","Preamble / para 3","paragraph","NONE","They do not alter current uses of Claude or any of Anthropic’s present offerings (beyond safety practices we already engage in).","The policy does not change existing Claude usage or Anthropic's current offerings beyond already-existing safety practices.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0008","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Anthropic's Responsible Scaling Policy","Preamble / para 4","paragraph","NONE","Our commitments are designed in the spirit of the Responsible Scaling Policy (RSP) framework being developed by Paul Christiano and ARC Evals, as well as emerging government policy proposals on responsible AI development in the UK, EU, and US.","The commitments draw on the RSP framework being developed by Paul Christiano and ARC Evals, and on emerging UK, EU, and US policy proposals.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0009","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Anthropic's Responsible Scaling Policy","Preamble / para 4","paragraph","NONE","We thank ARC Evals for substantial advice and collaboration on the development of our commitments.","Anthropic thanks ARC Evals for its advice and collaboration.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0010","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","fn1","fn1","footnote","NONE","We have in mind events of the magnitude of thousands of deaths or hundreds of billions of dollars in damage, as described in the main text, but the long tail of catastrophes could be significantly worse than even this.","The footnote clarifies that the stated magnitude is illustrative and worse catastrophes are possible.","none","thousands of deaths or hundreds of billions of dollars in damage","ANT-RSP-v1-0-0003","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0011","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","fn1","fn1","footnote","NONE","We also have in mind direct damage rather than broader societal processes where AI may play an indirect role (the latter is also important, but outside the scope of this document).","The footnote excludes indirect societal harms from AI from the scope of the catastrophic risk definition.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
