"unit_id","lab","identifier","framework_version","framework_year","section_heading","locator","unit_type","context_stem","excerpt","paraphrase","modal_register","stated_bar","duplicate_of","removal_candidate","transition_id","prior_unit_id","prior_stated_bar","prior_counterpart_excerpt","prior_modal_register"
"GDM-FSF-v1-0-0001","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Frontier Safety Framework (intro)","Intro para 1","paragraph","NONE","The Frontier Safety Framework is our first version of a set of protocols that aims to address severe risks that may arise from powerful capabilities of future foundation models.","This is the first version of a protocol set intended to address severe risks from powerful future foundation model capabilities.","aspirational","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0002","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Frontier Safety Framework (intro)","Intro para 1","paragraph","NONE","In focusing on these risks at the model level, it is intended to complement Google's existing suite of AI responsibility and safety practices, and enable AI innovation and deployment consistent with our AI Principles.","The Framework is meant to complement existing safety practices and support innovation consistent with Google's AI Principles.","aspirational","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0003","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Frontier Safety Framework (intro)","Intro para 2","paragraph","NONE","In the Framework, we specify protocols for the detection of capability levels at which models may pose severe risks (which we call ""Critical Capability Levels (CCLs)""), and articulate a spectrum of mitigation options to address such risks.","The Framework defines protocols to detect capability levels posing severe risk, called Critical Capability Levels, and lays out mitigation options.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0004","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Frontier Safety Framework (intro)","Intro para 2","paragraph","NONE","We are starting with an initial set of CCLs in the domains of Autonomy, Biosecurity, Cybersecurity, and Machine Learning R&D.","The initial CCLs cover Autonomy, Biosecurity, Cybersecurity, and Machine Learning R&D domains.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0005","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Frontier Safety Framework (intro)","Intro para 2","paragraph","NONE","Risk assessment in these domains will necessarily involve evaluating cross-cutting capabilities such as agency, tool use, and scientific understanding.","Assessing risk in these domains requires evaluating cross-cutting capabilities like agency, tool use, and scientific understanding.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0006","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Frontier Safety Framework (intro)","Intro para 2","paragraph","NONE","We will be expanding our set of CCLs over time as we gain experience and insights on the projected capabilities of future frontier models.","The set of CCLs will grow as experience and insight into future model capabilities increase.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0007","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Frontier Safety Framework (intro)","Intro para 3","paragraph","NONE","We aim to have this initial framework implemented by early 2025, which we anticipate should be well before these risks materialize.","The lab aims to implement this initial framework by early 2025, ahead of anticipated risk materialization.","aspirational","early 2025","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0008","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Frontier Safety Framework (intro)","Intro para 3","paragraph","NONE","The Framework is exploratory and based on preliminary research, which we hope will contribute to and benefit from the broader scientific conversation.","The Framework is described as exploratory, based on preliminary research intended to engage with the wider scientific community.","aspirational","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0009","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Frontier Safety Framework (intro)","Intro para 3","paragraph","NONE","It will be reviewed periodically and we expect it to evolve substantially as our understanding of the risks and benefits of frontier models improves.","The Framework will be periodically reviewed and is expected to change substantially as understanding improves.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0010","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Frontier Safety Framework (intro)","Intro para 4","paragraph","NONE","The Framework is informed by the broader conversation on Responsible Capability Scaling. The core components of Responsible Capability Scaling are to:","The Framework draws on the broader discourse on Responsible Capability Scaling, whose core components follow.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
